open	high	low	close	volume
1958	1958	1901	1943	46750
1943	1945	1930	1931	20664
1932	1943	1930	1939	19334
1938	1939	1928	1931	16852
1932	1933	1925	1928	11766
1928	1930	1925	1928	12062
1928	1930	1924	1926	8476
1926	1932	1925	1931	8168
1930	1934	1929	1932	6900
1931	1934	1929	1932	11194
1932	1932	1928	1930	6150
1930	1935	1928	1930	9460
1929	1932	1928	1929	6116
1929	1931	1923	1928	10966
1928	1932	1926	1929	11366
1929	1933	1924	1931	12942
1931	1934	1930	1931	4442
1931	1933	1929	1930	2524
1930	1930	1928	1929	1704
1929	1930	1929	1929	176
1930	1931	1929	1930	762
1930	1930	1929	1930	1204
1930	1930	1929	1930	778
1930	1930	1929	1930	140
1930	1931	1930	1930	622
1930	1930	1929	1929	12
1930	1930	1929	1929	606
1929	1929	1928	1929	120
1929	1929	1928	1929	168
1928	1929	1928	1929	30
1928	1932	1927	1929	660
1928	1932	1928	1930	7364
1930	1930	1926	1929	5246
1928	1930	1927	1929	2792
1929	1929	1928	1929	910
1929	1930	1928	1930	2062
1930	1931	1929	1929	4046
1929	1934	1928	1932	5338
1932	1936	1931	1932	7998
1932	1932	1928	1929	6684
1929	1931	1927	1929	6808
1930	1933	1928	1933	7286
1932	1936	1931	1935	7258
1935	1943	1935	1943	10868
1942	1945	1938	1943	19920
1943	1952	1942	1952	22136
1955	1965	1954	1955	17530
1955	1960	1955	1958	9848
1960	1970	1958	1967	14690
1968	1971	1965	1971	14820
1971	1972	1965	1968	6472
1968	1969	1965	1966	3514
1967	1981	1966	1980	28956
1980	1987	1980	1981	14848
1981	1983	1977	1982	6904
1982	1992	1981	1987	14092
1987	1990	1984	1986	6258
1985	1987	1983	1985	2194
1985	1987	1984	1984	1350
1984	1985	1983	1984	1530
1984	1985	1983	1984	430
1984	1984	1980	1983	2032
1983	1985	1973	1978	35156
1979	1979	1970	1974	19704
1975	1982	1973	1979	20216
1979	1986	1978	1979	33202
1979	1982	1978	1980	9890
1981	1985	1978	1980	13142
1981	1988	1980	1985	12076
1987	1988	1978	1978	11284
1978	1979	1972	1973	17208
1973	1978	1970	1972	13380
1971	1972	1966	1967	21736
1967	1968	1959	1959	14072
1958	1964	1958	1962	10526
1962	1968	1960	1962	10552
1962	1964	1958	1963	15490
1961	1967	1961	1965	10416
1966	1967	1963	1966	8116
1966	1967	1963	1965	5042
1965	1966	1964	1964	1722
1964	1964	1960	1963	4854
1962	1965	1960	1963	3968
1963	1964	1961	1962	2276
1962	1965	1962	1964	2044
1965	1967	1963	1967	2396
1967	1968	1964	1965	3226
1965	1965	1963	1964	676
1964	1965	1961	1962	1278
1961	1964	1961	1964	598
1963	1965	1963	1963	390
1964	1964	1960	1961	1048
1961	1963	1958	1960	4412
1959	1963	1955	1956	20344
1956	1959	1956	1958	6210
1958	1963	1957	1960	5920
1961	1964	1961	1964	8020
1963	1965	1961	1963	4474
1963	1967	1962	1966	13746
1966	1969	1964	1966	10782
1965	1967	1964	1966	5526
1966	1968	1963	1966	5632
1967	1973	1964	1970	16724
1970	1978	1968	1977	22716
1977	1980	1973	1973	19304
1973	1974	1971	1972	10840
1972	1975	1967	1967	17098
1968	1971	1966	1970	13528
1972	1976	1970	1975	12938
1975	1977	1970	1970	9350
1970	1976	1970	1975	10282
1975	1976	1973	1974	5880
1974	1975	1971	1975	12762
1975	1977	1974	1976	7830
1976	1976	1972	1973	8010
1973	1977	1972	1976	8496
1975	1976	1973	1973	3468
1973	1973	1966	1967	18948
1967	1968	1966	1968	2074
1968	1969	1966	1968	1126
1969	1969	1967	1968	338
1968	1968	1967	1968	102
1967	1968	1966	1967	502
1967	1969	1965	1968	1078
1967	1969	1963	1967	14698
1967	1969	1965	1967	9252
1966	1973	1966	1973	12984
1973	1977	1973	1974	12678
1974	1977	1973	1976	3138
1977	1979	1968	1969	24730

